Timestamp;Type;ID;Data
11T082554835;1;cf00400;f4dede5028fff0ff
11T082554835;1;18f00010;f07d7dfc10ffff1e
11T082554836;1;18f0093e;937d7f977da77f7c
11T082554836;1;cef27fd;20fffae1ff00ffff
11T082554837;1;18fe4a03;fffdffffffffffff
11T082554838;1;18febf0b;d6567d7d8484ffff
11T082554838;1;cfe6cee;4b10c0c020283357
11T082554839;1;1cfec703;fffffffffffc0000
11T082554841;1;c000003;ecffffffffffffff
11T082554842;1;cf00203;cd202800045028ff
11T082554842;1;18f00503;89e80389878988f5
11T082554843;1;cf00300;f0de63fffffff4ff
11T082554843;1;c00000b;fcffff7dffffffff
11T082554844;1;cf00400;f4dede5028fff0ff
11T082554845;1;c00270b;fcffff7dffffffff
11T082554845;1;18ecff00;201c0004ffe3fe00
11T082554846;1;cef27fd;20fffae1ff00ffff
11T082554847;1;cffcafd;c0fffffffffff800
11T082554849;1;c0320c8;ceffc157ffffffff
11T082554851;1;18daee17;0322f92500000000
11T082554851;1;c000003;ecffffffffffffff
11T082554852;1;c002903;10ffffffffffffff
11T082554853;1;cf00400;f4dede5028fff0ff
11T082554856;1;cef27fd;20fffae1ff00ffff
11T082554859;1;18fec4c8;ced1cf4ff622ffff
11T082554861;1;c000003;ecffffffffffffff
11T082554862;1;cf00203;cdf8270004e027ff
11T082554863;1;c010305;ccfffaffff20440a
11T082554863;1;c00000b;fcffff7dffffffff
11T082554864;1;cf00400;f4dede2028fff0ff
11T082554864;1;18f0010b;0000c0ffff01fff3
11T082554866;1;cef27fd;20fffae1ff00ffff
11T082554869;1;18fec6c8;7f000000ffffffa1
11T082554871;1;c000003;ecffffffffffffff
11T082554872;1;cf00203;cd302800048027ff
11T082554873;1;cf00400;f4dede2028fff0ff
11T082554873;1;c00000b;fcffff7dffffffff
11T082554874;1;18f00027;f07dffffffffffff
11T082554874;1;18f0093e;a37d7f8f7d2f807c
11T082554875;1;18febf0b;c7567c7e8684ffff
11T082554876;1;cef27fd;20fffae1ff00ffff
11T082554881;1;c000003;ecffffffffffffff
11T082554882;1;cf00203;cd202800042828ff
11T082554883;1;c001027;fcffff7dffffffff
11T082554883;1;c00000b;fcffff7dffffffff
11T082554884;1;cf00400;f4dede0028fff0ff
11T082554885;1;cd22f21;7f00f0ffffffffff
